Name,Number,Position,Height,Weight,Academic Year,Hometown,Highschool,Year
Nick Toon,1,WR,"6'3""",,R-Jr.,"Middleton, Wis.",Middleton,2010
Jay Valai,2,DB,"5'9""",,R-Sr.,"Euless, Texas",Colleyville Heritage,2010
Kyle Jefferson,3,WR,"6'4""",,Sr.,"Cleveland, Ohio",Glenville,2010
Jameson Wright,3,DB,"6'1""",,Fr.,"Fort Pierce, Fla.",,2010
Jared Abbrederis,4,WR,"6'2""",,R-Fr.,"Wautoma, Wis.",Wautoma,2010
Jon Budmayr,5,QB,"6'0""",,R-Fr.,"Woodstock, Ill",Marian Central Catholic,2010
Andrew Lukasko,5,DB,"5'10""",,R-Jr.,"Edgar, Wis.",Edgar,2010
Isaac Anderson,6,WR,"5'10""",,R-Sr.,"Minneapolis, Minn.",The Blake School,2010
Aaron Henry,7,DB,"6'0""",,R-Jr.,"Immokalee, Fla.",Immokalee,2010
Isaiah Williams,8,WR,"6'1""",,Fr.,"Miami, Fla.",Monsignor Edward Pace,2010
Blake Sorensen,9,LB,"6'1""",,Sr.,"Eden Prairie, Minn.",Eden Prairie,2010
Curt Phillips,10,QB,"6'3""",,R-So.,"Kingsport, Tenn.",Sullivan South,2010
Devin Smith,10,DB,"5'11""",,Jr.,"Coppell, Texas",Coppell,2010
Joe Brennan,11,QB,"6'3""",,Fr.,"Audubon, N.J.",,2010
David Gilbert,11,DL,"6'4""",,So.,"Coral Springs, Fla.",Northeast,2010
Dezmen Southward,12,DB,"6'2""",,R-Fr.,"Sunrise, Fla.",St. Thomas Aquinas,2010
Nate Tice,12,QB,"6'5""",,R-Jr.,"Edina, Minn.",Edina,2010
Conor O'Neill,13,DB,"6'0""",,R-Fr.,"Delray Beach,                                                            Fla.",,2010
Zach Schmidt,13,WR,"5'11""",,Fr.,"Oshkosh, Wis.",,2010
Marcus Cromartie,14,DB,"6'1""",,R-So.,"Mansfield, Texas",Timberview,2010
Drew McAdams,14,QB,"6'0""",,Fr.,"Madison, Wis.",,2010
Jeff Duckworth,15,WR,"6'0""",,R-Fr.,"Cincinnati, Ohio",Princeton,2010
Culmer St. Jean,15,LB,"6'0""",,R-Sr.,"Naples, Fla.",Lely,2010
Chukwuma Offor,16,WR,"6'0""",,R-Jr.,"Madison, Wis.",LaFollette,2010
Scott Tolzien,16,QB,"6'3""",,R-Sr.,"Rolling Meadows, Ill.",Palatine Fremd,2010
A.J. Fenton,17,LB,"6'1""",,R-Fr.,"Erie, Pa.",McDowell,2010
Connor Moutvic,17,WR,"6'0""",,Fr.,"Lake Forest, Ill.",,2010
Philip Welch,18,K,"6'3""",,R-Jr.,"Fort Collins, Colo.",Fort Collins,2010
Manasseh Garner,19,WR,"6'2""",,Fr.,"Pittsburgh, Pa.",,2010
James White,20,RB,"5'10""",,Fr.,"Fort Lauderdale, Fla.",St. Thomas Aquinas,2010
Peniel Jean,21,DB,"5'11""",,Fr.,"West Palm Beach, Fla.",Palm Beach Central,2010
Darius Feaster,22,DB,"5'11""",,R-Fr.,"Mequon, Wis.",Homestead,2010
Jeffrey Lewis,22,RB,"6'2""",,Fr.,"Brookfield, Wis.",Central,2010
Jerry Ponio,23,DB,"6'1""",,R-Fr.,"Chicago, Ill.",St. Rita,2010
Shelton Johnson,24,DB,"6'0""",,R-So.,"Carrollton, Texas",Hebron,2010
Adam Hampton,25,DB,"5'11""",,R-Jr.,"Lancaster, Wis.",Lancaster,2010
Antonio Fenelus,26,DB,"5'9""",,Jr.,"Boca Raton, Fla.",Boca Raton,2010
Kyle Zuleger,27,RB,"5'11""",,R-Fr.,"Appleton, Wis.",East,2010
Montee Ball,28,RB,"5'11""",,So.,"Wentzville, Mo.",Timberland,2010
Coddye Ring-Noonan,28,LB,"5'10""",,R-So.,"Madison, Wis.",East,2010
Niles Brinkley,29,DB,"5'10""",,R-Sr.,"St. Louis, Mo.",Beaumont,2010
Zach Brown,30,RB,"5'10""",,Sr.,"Royal Palm, Fla.",Royal Palm Beach,2010
Connor Cummins,31,WR,"6'1""",,Fr.,"Kettering, Ohio",Archbishop Alter,2010
Josh Peprah,31,DB,"5'11""",,R-Fr.,"McKinney, Texas",Plano East,2010
John Clay,32,RB,"6'1""",,R-Jr.,"Racine, Wis.",Washington Park,2010
Bradie Ewing,34,RB,"6'0""",,Jr.,"Richland Center, Wis.",Richland Center,2010
Ethan Armstrong,36,LB,"6'2""",,R-Fr.,"Ottawa, Ill.",Ottawa Township,2010
Kevin Claxton,37,LB,"6'1""",,Jr.,"Ft. Lauderdale, Fla.",Boyd Anderson,2010
Cameron Ontko,38,LB,"5'11""",,Fr.,"Seven Hills, Ohio",,2010
Konrad Zagzebski,39,DL,"6'3""",,Fr.,"Weston, Wis.",D.C. Everest,2010
Kevin Rouse,41,LB,"6'0""",,R-Jr.,"Yorkville, Ill.",Joliet Catholic Academy,2010
Cody Byers,42,LB,"6'2""",,Fr.,"Centerville, Ohio",Archbishop Alter,2010
Jason Hengel,42,FB,"6'2""",,Fr.,"La Crosse, Wis.",,2010
Michael Trotter,43,DB,"6'0""",,Fr.,"Racine, Wis.",Marquette,2010
Chris Borland,44,LB,"5'11""",,So.,"Kettering, Ohio",Archbishop Alter,2010
Warren Herring,45,DL,"6'3""",,Fr.,"Fairview Heights, Ill.",Belleville East,2010
Zach Davison,46,TE,"6'4""",,R-So.,"Waukee, Iowa",Waukee,2010
Willie Resop,46,LB,"6'1""",,Fr.,"Appleton, Wis.",,2010
Frank Tamakloe,47,DB,"6'3""",,Fr.,Washington D.C.,,2010
Jacob Pedersen,48,TE,"6'4""",,R-Fr.,"Menominee, Mich.",Menominee,2010
Brian Wozniak,49,TE,"6'4""",,R-Fr.,"Loveland, Ohio",Loveland,2010
Josh Harrison,50,LB,"6'0""",,Fr.,"Huber Heights, Ohio",Wayne,2010
Tyler Dippel,51,DL,"6'4""",,R-Fr.,"Slinger, Wis.",Hartford,2010
Nick Hill,52,LB,"6'2""",,R-Fr.,"Milwaukee, Wis.",Washington,2010
Mike Taylor,53,LB,"6'2""",,R-So.,"Ashwaubenon, Wis.",Ashwaubenon,2010
Kyle Costigan,54,DL,"6'4""",,Fr.,"Wind Lake, Wis.",Muskego,2010
Eriks Briedis,55,DL,"6'4""",,R-So.,"Miami, Fla.",Country Day,2010
Riki Kodanko,56,OL,"6'9""",,Fr.,"Green Bay, Wis.",West De Pere,2010
James McGuire,56,LS,"6'1""",,Fr.,"St. Paul, Minn.",Cretin-Derham Hall,2010
Marcus Krien,57,LS,"6'1""",,Fr.,"Burlington, Wis.",,2010
Ben Ruechel,57,LB,"6'1""",,Fr.,"Oconto, Wis.",Oconto,2010
Jacob Ninneman,58,DL,"6'1""",,Fr.,"Oregon, Wis.",Oregon,2010
Ricky Wagner,58,OL,"6'6""",,R-So.,"West Allis, Wis.",Nathan Hale,2010
Marcus Trotter,59,LB,"6'0""",,Fr.,"Racine, Wis.",Marquette,2010
Jake Current,60,OL,"6'3""",,Jr.,"Troy, Ohio",Troy,2010
Sam Edmiston,61,OL,"6'7""",,R-Fr.,"Cincinnati, Ohio",St. Xavier,2010
